income,raven,ethical,financial,health_safety,recreational,social,self_control,self_regulation
40000,10,2.666666667,3.666666667,1.666666667,1.833333333,4.166666667,20,59
49000,3,1.5,2.5,1.333333333,2.833333333,3.166666667,59,115
49000,15,1,2.333333333,1,5.333333333,4.166666667,56,119
40000,11,1.833333333,2.833333333,1.666666667,1.5,2.5,48,134.5
30000,2,1,2.666666667,1,2.333333333,3.5,54,140
70000,6,3.333333333,2.833333333,1.333333333,3.333333333,5.166666667,53,138
20000,14,2.833333333,2.333333333,1.333333333,3.5,4.333333333,49,128
25000,15,2.5,3.666666667,2.833333333,3.333333333,3.5,32,73
65000,7,3.333333333,4,1.333333333,2.666666667,3.666666667,34,117
19000,8,1,1,1.333333333,1.166666667,2.833333333,48,121
30000,18,2,3,1.5,2.666666667,3.333333333,50,122
50000,18,2.5,2.5,2.666666667,2.833333333,3.333333333,50,117
24000,2,3.833333333,4,2.833333333,2.833333333,3,39,102
55000,16,1.666666667,3,1,2,2.666666667,44,122
10000,7,2.666666667,1.833333333,1.333333333,1.666666667,4,27,60
68000,10,2.666666667,1,1,1,3.666666667,59,140
42000,8,1,1.5,1,2.5,3.833333333,62,144
12000,6,1.333333333,2.166666667,1,1.333333333,3.5,47,113
15000,8,3.666666667,5.333333333,1.5,3.333333333,4.166666667,33,81
82000,11,2,2.333333333,1,4.166666667,4.333333333,32,99
25000,12,1.666666667,3.833333333,1,1.166666667,2.333333333,51,129
27000,1,1.5,2.333333333,1.166666667,1.333333333,3,56,142
15500,9,3.166666667,3.166666667,1.333333333,3.833333333,4.5,29,101
90000,16,3.166666667,5,3.166666667,6,4.666666667,55,135
30000,2,1.833333333,2.166666667,2.333333333,2.166666667,3,30,97
130000,5,1.666666667,2.166666667,1,2,3.833333333,55,123
15000,11,2.166666667,2.5,1.5,4,4.166666667,57,137
44000,4,1,1,1,1,3,35,123
70000,12,2.333333333,1.166666667,1.333333333,2.5,3.666666667,57,132
25000,5,1.166666667,2,1.333333333,2.833333333,5.333333333,52,132
52000,7,1.166666667,1.5,1,2,4.333333333,62,148
35000,8,2.666666667,3.5,1.833333333,2.5,4.5,48,117
30000,13,2.166666667,4.333333333,1.333333333,3.666666667,4.333333333,38,110
2400,18,2.666666667,3.833333333,1.666666667,4.666666667,4.333333333,36,101
45000,8,1.333333333,4.833333333,3.166666667,4.166666667,4.833333333,48,142
16000,8,2.166666667,3.833333333,2.333333333,4,4.333333333,55,118
107500,8,1.333333333,3.666666667,1.166666667,3,3.833333333,40,103.5
12000,12,2.166666667,3,1.333333333,2.166666667,5,50,122
33330,11,1.5,1.5,1.5,2.5,4.333333333,33,95
55000,10,1.166666667,2.166666667,1.166666667,2.666666667,3.833333333,55,144
40000,17,1.166666667,2.666666667,1.166666667,1.5,3.666666667,42,126
20000,6,2,2.166666667,1,1.5,3,27,83
25000,3,2.5,3,2,2.5,3.5,40,131
62000,9,2.5,2.166666667,1.166666667,2.833333333,3.5,37,108
36000,10,4,3.333333333,1.5,5.833333333,5.333333333,51,145
50000,16,1,2.5,1,1.5,4.5,48,106
45000,14,1.666666667,1,1.5,5.333333333,4.833333333,37,121
50000,14,1.5,2.666666667,2,1.5,5.5,38,110.5
85000,11,2.5,3.166666667,1.333333333,2,4.833333333,47,130.5
49000,2,1,2.833333333,1,2.666666667,2.166666667,39,89.5
37500,16,4.833333333,4.333333333,2.833333333,3,4,51,140
19000,8,2,2.5,1,3.166666667,3.833333333,44,114
40000,11,2.5,3.166666667,3.333333333,4,3,34,121
5000,3,3.5,3.166666667,1.5,2.5,2,37,150
70000,6,1.833333333,3.166666667,1.166666667,3.166666667,3.5,57,148
50000,4,2,4.166666667,4,5.166666667,3.333333333,56,148
6000,13,1.666666667,2.5,3,2,5.333333333,46,133
24000,9,1.166666667,1.833333333,1.666666667,5.166666667,5.833333333,61,138
60000,10,2,2.833333333,1.666666667,4,4.333333333,37,90.5
15000,5,1.5,1.666666667,1.666666667,1.666666667,4.166666667,27,97.5
32000,12,1.5,1.833333333,1.166666667,3.666666667,4.833333333,43,108
32000,13,2,3.5,1,2.166666667,3,40,115
20000,13,1,2.166666667,1.333333333,3.166666667,3.666666667,50,121
52000,8,1.333333333,2,1,2.333333333,4.166666667,61,142
38000,16,3.833333333,2.5,2.333333333,2.5,3.5,55,141
78000,7,2,3.833333333,1.166666667,4.166666667,5.5,38,97
60000,14,3.666666667,4.833333333,2,3.666666667,4.5,34,93
45000,8,1.666666667,1,1.666666667,2.166666667,3.166666667,49,114
25000,8,2,3.833333333,1.5,1.833333333,3.333333333,28,83
15000,2,1,1.666666667,1,1.333333333,2.833333333,57,119
15000,6,2.333333333,1.666666667,1.833333333,2.666666667,4,48,118
30000,7,2.666666667,2.666666667,1.166666667,2.666666667,4.666666667,30,92.5
90000,3,2.166666667,2.166666667,1.5,5.166666667,3.666666667,56,117
22000,13,1.333333333,2,2,1.666666667,5.333333333,33,98
25000,10,1,2.166666667,1.333333333,3.5,4.166666667,45,125.5
5900,9,1,2.5,1,1.833333333,3.166666667,51,115.5
35000,5,3.333333333,4,2.5,3,3.833333333,47,137
0,17,2.166666667,3.5,2,3.166666667,4.833333333,37,105
12000,10,2,3.833333333,1.166666667,5.666666667,7,62,150
52500,17,3,3.666666667,1.833333333,2.166666667,1.833333333,37,91
76000,3,3,4,1,1.666666667,2.833333333,60,132
41000,5,3.333333333,3.5,2.333333333,4.166666667,4.833333333,40,117
90000,9,2.166666667,2.666666667,1.666666667,2.166666667,4.5,38,122.5
80000,1,2.166666667,2.5,1.166666667,2.833333333,4.166666667,38,104
50000,10,3.5,3.166666667,1.833333333,3,5,40,100
25000,15,2.666666667,3.833333333,2.5,4.333333333,3.833333333,18,74.5
