,Sex,Race,HouseholdIncome,Race_black,Race_white,ravens.score,self_regulation,Alcohol
s445,0,White,30000,0,1,11,117,1
s446,0,White,39000,0,1,18,124,1
s447,0, Vietnamese,39999,0,0,15,105.5,0
s448,0,White,65000,0,1,10,125.5,1
s449,1,White,240000,0,1,15,107.5,0
s450,1, Filipino,35000,0,0,16,119,1
s451,1,White,23000,0,1,15,133.5,0
s453,0,White,65000,0,1,6,111,1
s454,1,White,40000,0,1,2,123,0
s455,0,White,18000,0,1,1,107,0
s456,0,White,20000,0,1,10,118,1
s457,1,White,135000,0,1,15,134,0
s458,1,White,68000,0,1,15,64,1
s459,1,White,40000,0,1,12,113,1
s460,1,White,80000,0,1,11,114,0
s461,1,White,25000,0,1,10,120,1
s462,1,White,60000,0,1,10,111.5,1
s463,0,White,40000,0,1,10,59,0
s464,1,White,49000,0,1,3,115,0
s465,1, Filipino,49000,0,0,15,119,1
s466,0, Black or African American,40000,1,0,11,134.5,1
s467,1,White,30000,0,1,2,140,0
s468,1,White,70000,0,1,6,138,0
s469,1,White,20000,0,1,14,128,0
s470,0,White,25000,0,1,15,73,1
s471,0,White,65000,0,1,7,117,1
s472,1,White,19000,0,1,8,121,0
s473,0, Other Asian,30000,0,0,18,122,0
s474,0,White,50000,0,1,18,117,0
s475,0,White,24000,0,1,2,102,1
s476,0,White,55000,0,1,16,122,0
s477,0,White,10000,0,1,7,60,1
s478,1,White,68000,0,1,10,140,0
s479,1,White,42000,0,1,8,144,0
s480,1, Middle Eastern or North African,12000,0,0,6,113,0
s481,1,White,15000,0,1,8,81,1
s482,1,White,82000,0,1,11,99,1
s483,1,White,25000,0,1,12,129,0
s484,0,White,27000,0,1,1,142,0
s485,1,White,15500,0,1,9,101,1
s486,0,White,90000,0,1,16,135,0
s488,0,White,30000,0,1,2,97,1
s489,1,White,130000,0,1,5,123,0
s490,1,White,15000,0,1,11,137,0
s491,1, Black or African American,44000,1,0,4,123,0
s492,0, Black or African American,70000,1,0,12,132,0
s493,1,White,25000,0,1,5,132,0
s494,0,White,52000,0,1,7,148,0
s495,1,White,35000,0,1,8,117,1
s496,1,White,30000,0,1,13,110,0
s497,0,White,2400,0,1,18,101,1
s498,0,White,45000,0,1,8,142,1
s499,0,White,16000,0,1,8,118,0
s500,1,White,107500,0,1,8,103.5,0
s501,1,White,12000,0,1,12,122,0
s502,1,Chinese,33330,0,0,11,95,1
s503,1,White,55000,0,1,10,144,1
s504,0,White,40000,0,1,17,126,0
s505,0,White,20000,0,1,6,83,1
s506,0, American Indian or Alaska Native,25000,0,0,3,131,1
s507,1,White,62000,0,1,9,108,0
s508,1, Other Asian,36000,0,0,10,145,0
s509,1,White,50000,0,1,16,106,0
s510,1,White,45000,0,1,14,121,1
s511,0,White,50000,0,1,14,110.5,0
s512,1,White,85000,0,1,11,130.5,1
s513,1,White,49000,0,1,2,89.5,0
s514,0,White,37500,0,1,16,140,1
s515,0,Chinese,19000,0,0,8,114,0
s516,1,White,40000,0,1,11,121,1
s517,0, Black or African American,5000,1,0,3,150,0
s520,1,White,70000,0,1,6,148,0
s521,0,White,50000,0,1,4,148,1
s522,1,White,6000,0,1,13,133,1
s523,1,White,24000,0,1,9,138,0
s524,1,White,60000,0,1,10,90.5,1
s526,0,White,15000,0,1,5,97.5,1
s527,1,White,32000,0,1,12,108,0
s528,1,White,32000,0,1,13,115,0
s529,1,White,20000,0,1,13,121,1
s531,1,Chinese,52000,0,0,8,142,0
s533,0,White,38000,0,1,16,141,1
s534,1,White,78000,0,1,7,97,0
s535,0,White,60000,0,1,14,93,0
s538,1,White,45000,0,1,8,114,0
s539,0,White,25000,0,1,8,83,0
s541,1,White,15000,0,1,2,119,0
s542,0,White,15000,0,1,6,118,0
s543,1,White,30000,0,1,7,92.5,0
s544,1, Filipino,90000,0,0,3,117,0
s545,0,White,22000,0,1,13,98,1
s546,1,White,25000,0,1,10,125.5,1
s548,1,Other,5900,0,0,9,115.5,0
s549,0,White,35000,0,1,5,137,1
s550,1,Choose not to respond,0,0,0,17,105,1
s551,0,White,12000,0,1,10,150,0
s552,0,White,52500,0,1,17,91,0
s553,0, Black or African American,76000,1,0,3,132,0
s554,1,White,41000,0,1,5,117,0
s556,0,White,90000,0,1,9,122.5,0
s557,0,White,80000,0,1,1,104,0
s559,1,White,50000,0,1,10,100,0
s560,0, Vietnamese,25000,0,0,15,74.5,1
